function_ID,run_ID,dim,FEVs,computing_time,comm_time,total_FEs,node_num,GPU_num,island_num,global_pop_size,island_size,interval,migration_rate,connection_rate,buffer_capacity,migration_topology,buffer_manage,regroup_option,EA_parameters
23,1,10,329.457474710713086,3.46,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
23,2,10,329.457474710713086,3.43,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
23,3,10,329.457474710713086,3.43,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
23,4,10,329.457474710713086,3.47,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
23,5,10,329.457474710713086,3.44,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
23,6,10,329.457474710713086,3.44,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
23,7,10,329.457474710713086,3.44,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
23,8,10,329.457474710713086,3.43,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
23,9,10,329.457474710713086,3.43,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
23,10,10,329.457474710713086,3.44,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
23,11,10,329.457474710713086,3.44,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
23,12,10,329.457474710713086,3.44,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
23,13,10,329.457474710713086,3.44,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
23,14,10,329.457474710713086,3.48,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
23,15,10,329.457474710713086,3.43,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,1,10,121.548662947091088,3.15,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,2,10,116.780253916691436,3.16,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,3,10,117.264114150854766,3.15,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,4,10,122.372190057641546,3.16,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,5,10,120.134457737950470,3.15,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,6,10,121.358244770299279,3.18,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,7,10,121.335316639295797,3.17,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,8,10,117.905715389543730,3.16,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,9,10,119.053831484164220,3.16,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,10,10,117.754846801354688,3.15,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,11,10,122.005720229244616,3.16,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,12,10,120.675963385338946,3.16,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,13,10,119.922163943104806,3.15,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,14,10,122.451132976570534,3.15,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
24,15,10,118.488014712618678,3.15,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,1,10,100.000000002332399,3.59,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,2,10,100.000000000000000,3.57,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,3,10,111.694793603826838,3.59,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,4,10,108.859069442438795,3.61,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,5,10,111.518123086852484,3.62,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,6,10,111.240266271637211,3.61,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,7,10,116.749025618745691,3.58,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,8,10,100.000000032097887,3.61,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,9,10,116.128765174001728,3.60,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,10,10,100.000000000000455,3.59,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,11,10,108.160580485761784,3.61,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,12,10,110.018481606239220,3.59,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,13,10,114.777414623582445,3.58,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,14,10,114.379351194893388,3.59,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
25,15,10,114.247872230801022,3.58,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
